iter	Logloss
0	0.6810219033
1	0.6691228004
2	0.6590185048
3	0.649875112
4	0.6413687159
5	0.6331675702
6	0.6261201161
7	0.6192057252
8	0.6140269648
9	0.6086659667
10	0.6045575224
11	0.6007998695
12	0.5962593157
13	0.5929991925
14	0.5901225814
15	0.5868275832
16	0.5838888826
17	0.5813952173
18	0.5789307211
19	0.5768466481
20	0.5752560226
21	0.5724753326
22	0.570292903
23	0.5684017727
24	0.5659248019
25	0.5645460207
26	0.5631873139
27	0.5612090631
28	0.5592566531
29	0.5577337816
30	0.5555873059
31	0.5544913805
32	0.5529902302
33	0.5517504029
34	0.5503245406
35	0.5488677072
36	0.5475865985
37	0.545563698
38	0.5441359423
39	0.5428147478
40	0.5415530065
41	0.5397871923
42	0.5385790261
43	0.5374295537
44	0.5364785299
45	0.535698994
46	0.5349716107
47	0.533814702
48	0.5331935017
49	0.532252709
50	0.5311091593
51	0.5299919505
52	0.5290631038
53	0.5278944407
54	0.527507953
55	0.5266247467
56	0.526062852
57	0.5252663156
58	0.5244963106
59	0.5235194603
60	0.5227034201
61	0.5219457711
62	0.5210269184
63	0.5201738219
64	0.5196235382
65	0.5190610275
66	0.5183288685
67	0.517693755
68	0.516694507
69	0.5158338426
70	0.5151911497
71	0.514112396
72	0.5133794077
73	0.5130726223
74	0.5123911539
75	0.5118239329
76	0.5112121358
77	0.5108087418
78	0.5102503691
79	0.509808301
80	0.5091593092
81	0.5086656354
82	0.508227462
83	0.5076802456
84	0.5068584995
85	0.5063607017
86	0.5057699979
87	0.5052252695
88	0.5047512969
89	0.5039251045
90	0.503513353
91	0.5028725296
92	0.5024019995
93	0.5019544866
94	0.5015559781
95	0.5010307149
96	0.5003421324
97	0.5000198069
98	0.4995816114
99	0.4988531607
100	0.4984977789
101	0.4977545085
102	0.4973010481
103	0.4969563153
104	0.4964362418
105	0.4959923708
106	0.4955134657
107	0.4950098974
108	0.4945775838
109	0.4940880651
110	0.4933658812
111	0.4929226281
112	0.4924888105
113	0.4919309576
114	0.4911320325
115	0.4906022958
116	0.4901602186
117	0.4896287998
118	0.4889163692
119	0.4883459434
120	0.4878924955
121	0.4872420906
122	0.486815309
123	0.4863462195
124	0.4857789883
125	0.4852443735
126	0.484865213
127	0.4841312392
128	0.4838283664
129	0.4833938208
130	0.483150788
131	0.4826194959
132	0.4821858879
133	0.4815136654
134	0.4811314237
135	0.4804136803
136	0.4799368555
137	0.4795238653
138	0.4790400318
139	0.4785834234
140	0.4782219654
141	0.4778475414
142	0.477264146
143	0.4765601745
144	0.4760503829
145	0.4758405192
146	0.4753287803
147	0.4747730891
148	0.4738253228
149	0.4733588443
150	0.4731148312
151	0.4726819075
152	0.4721402268
153	0.4716503591
154	0.4711431669
155	0.4707592887
156	0.4701067544
157	0.4697419783
158	0.4693793283
159	0.4686291347
160	0.4678621256
161	0.4672193607
162	0.4668235301
163	0.4661226403
164	0.4655527324
165	0.4649759986
166	0.4645223366
167	0.4638467919
168	0.4631897929
169	0.4626202465
170	0.46205389
171	0.4614009184
172	0.4609807957
173	0.4603295165
174	0.4595271304
175	0.4589892165
176	0.4582760336
177	0.4578542493
178	0.4573006731
179	0.456578938
180	0.4558874078
181	0.4553327101
182	0.4546496216
183	0.4543282741
184	0.4535998297
185	0.4532201898
186	0.4525036318
187	0.451786058
188	0.4511826822
189	0.4508787739
190	0.4503017515
191	0.4496537196
192	0.4490977833
193	0.4485033975
194	0.4479170805
195	0.4474042452
196	0.4468344673
197	0.4462027747
198	0.445655005
199	0.4450785344
200	0.4445826077
201	0.4440443375
202	0.4433768712
203	0.4427717124
204	0.4421056266
205	0.4417624292
206	0.4412576143
207	0.4408117521
208	0.4401326319
209	0.4398324541
210	0.439309697
211	0.438725091
212	0.4381100033
213	0.4375024677
214	0.4369711518
215	0.4362881878
216	0.4357290095
217	0.4352391113
218	0.4347816352
219	0.4342034736
220	0.4338106444
221	0.4332310681
222	0.4325234003
223	0.432027297
224	0.4315080212
225	0.4309608868
226	0.4305974625
227	0.4299502425
228	0.4293748184
229	0.4288400158
230	0.4282281334
231	0.4278264243
232	0.4274105224
233	0.4270019587
234	0.4266396886
235	0.4260247498
236	0.4256768883
237	0.4251482073
238	0.4245406718
239	0.4239402346
240	0.4232869297
241	0.4226709801
242	0.422065317
243	0.4214839404
244	0.4210954372
245	0.4207231335
246	0.4202495448
247	0.4196579591
248	0.4190882972
249	0.4186953485
