iter	Logloss
0	0.6812760878
1	0.6693682627
2	0.658747476
3	0.6497885305
4	0.6414252635
5	0.6350576341
6	0.6287255435
7	0.6225153001
8	0.6166681991
9	0.6128771013
10	0.6076785128
11	0.60269656
12	0.5991079271
13	0.5962734745
14	0.5929219527
15	0.5898951333
16	0.5866601585
17	0.583697387
18	0.5813762658
19	0.5782580611
20	0.5749790673
21	0.573090827
22	0.5705173639
23	0.5683402945
24	0.5662199087
25	0.5645981811
26	0.5634881112
27	0.5616592324
28	0.559495497
29	0.5579973461
30	0.5560259218
31	0.5545278825
32	0.5528787616
33	0.5518917105
34	0.5503218684
35	0.5491860231
36	0.547498295
37	0.546502931
38	0.5449992569
39	0.5442888166
40	0.5437092058
41	0.5425473619
42	0.5415411745
43	0.5404529188
44	0.5391797723
45	0.5384773659
46	0.5376523313
47	0.5367639182
48	0.5358698146
49	0.5350600108
50	0.5343897957
51	0.5333402588
52	0.5327020119
53	0.5319077738
54	0.5316405357
55	0.5311558809
56	0.5305715836
57	0.5295673489
58	0.5287873374
59	0.5279471835
60	0.5272104099
61	0.5263516219
62	0.5256506102
63	0.5248348926
64	0.5243664729
65	0.5234899434
66	0.5228790339
67	0.5218393162
68	0.5210632659
69	0.5204535838
70	0.5198898176
71	0.51927093
72	0.5189720586
73	0.5185611034
74	0.5177842163
75	0.5170408594
76	0.5165079455
77	0.5159350296
78	0.5153413595
79	0.5149404466
80	0.5143383521
81	0.5138571563
82	0.5134396178
83	0.5129181968
84	0.5126230076
85	0.5120820598
86	0.5116745637
87	0.5113436125
88	0.5108995176
89	0.5103196278
90	0.509843509
91	0.5091283823
92	0.5086869653
93	0.50807282
94	0.5075901178
95	0.5072201131
96	0.5068231056
97	0.5065926895
98	0.5061646066
99	0.5055318829
100	0.5051362702
101	0.5046686873
102	0.5042201291
103	0.5037621423
104	0.5033606158
105	0.5031528508
106	0.5029510554
107	0.5024059791
108	0.5019175862
109	0.5013995685
110	0.501100195
111	0.5002038597
112	0.499722608
113	0.4994406412
114	0.4988534987
115	0.4984236304
116	0.4978497102
117	0.4972791375
118	0.4969889695
119	0.4966589668
120	0.4961106546
121	0.4956589721
122	0.4952093539
123	0.4947053397
124	0.4941653961
125	0.4936556912
126	0.4933173757
127	0.4927188518
128	0.4921636773
129	0.4917485378
130	0.4911269723
131	0.4906820963
132	0.4902638883
133	0.4899142473
134	0.4892712023
135	0.4888064648
136	0.4883521043
137	0.487926532
138	0.4873863653
139	0.4870748293
140	0.4865029734
141	0.4861482554
142	0.4857249147
143	0.4852316122
144	0.4848021345
145	0.4844172337
146	0.4840837161
147	0.4837519281
148	0.4833270253
149	0.4829598101
150	0.4822870844
151	0.4817802806
152	0.4812547311
153	0.4804475495
154	0.4798590679
155	0.4790825155
156	0.4786535399
157	0.4781283809
158	0.4778886478
159	0.477422906
160	0.4766471905
161	0.4761938343
162	0.4757555974
163	0.4754034457
164	0.4748406279
165	0.4743048687
166	0.4738656834
167	0.4732065706
168	0.4727797709
169	0.4723861109
170	0.471924386
171	0.471485647
172	0.4711193245
173	0.4705549446
174	0.4701804766
175	0.4697076494
176	0.4693197358
177	0.4689574861
178	0.4684788566
179	0.4680124454
180	0.4675088216
181	0.4670461484
182	0.4664727303
183	0.4661441782
184	0.4656228409
185	0.4651548117
186	0.4648638068
187	0.4646131386
188	0.463947331
189	0.4634561765
190	0.462955956
191	0.4625491294
192	0.4620573333
193	0.4615308075
194	0.4609597605
195	0.4604152421
196	0.4600093639
197	0.4593838931
198	0.4590844637
199	0.458629908
200	0.4581410131
201	0.4578310951
202	0.4574156208
203	0.4570626044
204	0.4565106101
205	0.4561211902
206	0.4556277483
207	0.4550740523
208	0.4546757616
209	0.4542277055
210	0.4536316085
211	0.4531232147
212	0.4528217769
213	0.4522668535
214	0.451942932
215	0.4514735081
216	0.4509374141
217	0.4504251707
218	0.4499648964
219	0.4495564518
220	0.4489963678
221	0.4486315516
222	0.4481859504
223	0.4477692766
224	0.4473904291
225	0.4468670275
226	0.4463597774
227	0.446014739
228	0.4455732663
229	0.4451754777
230	0.4446967925
231	0.4444791804
232	0.444101644
233	0.4437313324
234	0.443232674
235	0.4427623017
236	0.4420817373
237	0.4415435791
238	0.4410983126
239	0.4407587975
240	0.4402434577
241	0.4399367477
242	0.4395281079
243	0.439134141
244	0.4386902413
245	0.4381403112
246	0.437550407
247	0.4370983061
248	0.4365450843
249	0.4360847264
